total,species_a,species_b,n,m,potential_energy,potential_energy_per_atom,formation_energy_per_atom,strain_tension_per_a_atom,strain_compression_per_b_atom,interface_energy
16,Si,Ge,6,10,-660.3984603401811,-5.159362971407665,0.0025347024369533067,0.01764071730027202,0.013762618519704261,-1.6233220000590336
16,Si,Ge,7,9,-666.9572156502669,-5.21060324726771,0.002612765320403998,0.01764071730027236,0.013762618519704025,-1.644354741221946
16,Si,Ge,8,8,-673.5037977772109,-5.26174842013446,0.002785931197148983,0.017640717300271724,0.013762618519703729,-1.6532142992433592
16,Si,Ge,9,7,-680.0293081175598,-5.312728969668436,0.0031237204066685287,0.01764071730027202,0.013762618519703349,-1.6410020706696287
16,Si,Ge,10,6,-686.5479706933086,-5.363656021041473,0.0035150077771273214,0.01764071730027226,0.013762618519703432,-1.6219420774955324
16,Si,Ge,11,5,-693.0421418848144,-5.414391733475113,0.004097634086983604,0.01764071730027245,0.013762618519704261,-1.5783907000785575
16,Si,Ge,12,4,-699.5189567782182,-5.46499184982983,0.0048158564757616595,0.01764071730027202,0.01376261851970284,-1.5174830245595103
16,Si,Ge,13,3,-705.9841260988352,-5.51550098514715,0.005625059901937068,0.017640717300272748,0.013762618519703432,-1.4449297762537299
16,Si,Ge,14,2,-712.4355499769758,-5.565902734195124,0.006541649597459509,0.01764071730027033,0.01376261851970284,-1.358631085471302
16,Si,Ge,15,1,-718.8728174451165,-5.616193886289973,0.007568836246105604,0.01764071730026823,0.01376261851970284,-1.2581759846889327
17,Si,Ge,1,16,-666.1346527040475,-4.898048916941526,0.0042383373771733256,0.017640717300271724,0.01376261851970284,-1.3263270256283022
17,Si,Ge,2,15,-672.7781972985299,-4.946898509548014,0.003688357705740105,0.017640717300272613,0.013762618519702603,-1.43214905118748
17,Si,Ge,3,14,-679.4126866188744,-4.995681519256429,0.0032049609323792083,0.017640717300273206,0.013762618519703349,-1.5289158026089353
17,Si,Ge,4,13,-686.0229368620478,-5.044286300456234,0.0028997926676297804,0.017640717300271724,0.013762618519703115,-1.6014434768593446
17,Si,Ge,5,12,-692.6241948936638,-5.0928249624534105,0.002660743605507655,0.017640717300272966,0.013762618519703432,-1.6649789395526113
17,Si,Ge,6,11,-699.1978733938938,-5.141160833778631,0.002624485215341695,0.01764071730027202,0.013762618519703163,-1.7009348708598964
17,Si,Ge,7,10,-705.7669384587005,-5.189462782784562,0.0026221491444657122,0.01764071730027236,0.013762618519704261,-1.7322773667438014
17,Si,Ge,8,9,-712.3175081643429,-5.237628736502522,0.0027558083615605755,0.017640717300271724,0.013762618519704025,-1.7451245034636713
17,Si,Ge,9,8,-718.8538651535582,-5.285690184952634,0.002993972846502569,0.01764071730027202,0.013762618519703729,-1.7437589237563316
17,Si,Ge,10,7,-725.3742139605101,-5.333633926180221,0.003349844553969707,0.01764071730027226,0.013762618519703349,-1.726385161785629
17,Si,Ge,11,6,-731.8797222784909,-5.381468546165374,0.003814837503871741,0.01764071730027245,0.013762618519703432,-1.6941709108435816
17,Si,Ge,12,5,-738.3745707072718,-5.429224784612293,0.004358211992008123,0.01764071730027202,0.013762618519704261,-1.651296770701606
17,Si,Ge,13,4,-744.846810015977,-5.476814779529242,0.005067830010112573,0.017640717300272748,0.01376261851970284,-1.5858135104839448
17,Si,Ge,14,3,-751.3101104281074,-5.524339047265495,0.005843175208915158,0.01764071730027033,0.013762618519703432,-1.5113913536913515
17,Si,Ge,15,2,-757.7605962832346,-5.571769090317901,0.006712745091563519,0.01764071730026823,0.01376261851970284,-1.4241546398955052
17,Si,Ge,16,1,-764.1978533465809,-5.6191018628425065,0.007679585502012433,0.01764071730026817,0.01376261851970284,-1.3236891343188972
18,Si,Ge,1,17,-704.9185460694746,-4.895267681038018,0.004336261450955842,0.017640717300271724,0.013762618519703885,-1.3884202081441117
18,Si,Ge,2,16,-711.5622800743816,-4.941404722738762,0.0038155208555426473,0.017640717300272613,0.01376261851970284,-1.4944316441279852
18,Si,Ge,3,15,-718.201863037238,-4.987512937758598,0.0033236069410362587,0.017640717300273206,0.013762618519702603,-1.5962920380612786
18,Si,Ge,4,14,-724.8119833635952,-5.033416551136078,0.00303629466888427,0.017640717300271724,0.013762618519703349,-1.6686897954951974
18,Si,Ge,5,13,-731.4172360339389,-5.0792863613467985,0.002782785563493601,0.017640717300272966,0.013762618519703115,-1.7362198969160545
18,Si,Ge,6,12,-738.0064913004837,-5.125045078475582,0.0026403695400397786,0.01764071730027202,0.013762618519703432,-1.7877525945381194
18,Si,Ge,7,11,-744.5753826666428,-5.170662379629464,0.002639369491486971,0.01764071730027236,0.013762618519703163,-1.8189213917744382
18,Si,Ge,8,10,-751.1377735549659,-5.216234538576152,0.002683511650128404,0.017640717300271724,0.013762618519704261,-1.8435897111749
18,Si,Ge,9,9,-757.6808983950923,-5.261672905521475,0.002861445810135008,0.01764071730027202,0.013762618519704025,-1.8489919823787204
18,Si,Ge,10,8,-764.2071271145951,-5.3069939382958,0.0031567141411395186,0.01764071730027226,0.013762618519703729,-1.837498132958899
18,Si,Ge,11,7,-770.7218843650332,-5.352235308090509,0.0035316454517596205,0.01764071730027245,0.013762618519703349,-1.8145328144744326
18,Si,Ge,12,6,-777.2222031702987,-5.397376410904852,0.004006843742745403,0.01764071730027202,0.013762618519703432,-1.7771290508170523
18,Si,Ge,13,5,-783.7070163025171,-5.442409835434146,0.004589720318780305,0.017640717300272748,0.013762618519704261,-1.7242196141125987
18,Si,Ge,14,4,-790.1844949221123,-5.487392325848003,0.005223531010254511,0.01764071730027033,0.01376261851970284,-1.6639756647847435
18,Si,Ge,15,3,-796.6355121662103,-5.532191056709794,0.006041101253791956,0.01764071730026823,0.013762618519703432,-1.5772703399597958
18,Si,Ge,16,2,-803.0856334507123,-5.576983565629947,0.0068648934389686405,0.01764071730026817,0.01376261851970284,-1.4896690555387977
18,Si,Ge,17,1,-809.5228892913439,-5.621686731189888,0.00777802898435641,0.01764071730026561,0.01376261851970284,-1.3892023272470624
19,Si,Ge,1,18,-743.7024396914293,-4.892779208496245,0.004423876039816988,0.017640717300271724,0.013762618519704025,-1.450513647187563
19,Si,Ge,2,17,-750.3462088577393,-4.936488216169337,0.00393031151914233,0.017640717300272613,0.013762618519703885,-1.5565602445743707
19,Si,Ge,3,16,-756.9886960332533,-4.9801887896924555,0.003445181148441185,0.017640717300273206,0.01376261851970284,-1.6613248511653183
19,Si,Ge,4,15,-763.5989827888908,-5.023677518347966,0.0031718956453487047,0.017640717300271724,0.013762618519702603,-1.7338890378795213
19,Si,Ge,5,14,-770.2081494844286,-5.067158878187031,0.002905978958700554,0.017640717300272966,0.013762618519703349,-1.8053331644941863
